acc,organism,clade,arm
EF547817.1,"Aneura sp. Shaw 697 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Liverworts,B1_sparse_clade
MH704452.1,"Laurencia sp. voucher SP399934 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",Red algae,B1_sparse_clade
MH704451.1,"Laurencia sp. voucher SP365433 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",Red algae,B1_sparse_clade
MH704450.1,"Laurencia sp. voucher ALCB114309 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds;",Red algae,B1_sparse_clade
MG251837.1,"Hydroclathrus rapanuii voucher SAP115251 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, part",Brown algae,B1_sparse_clade
LC270395.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270394.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270393.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270392.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270391.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270390.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270389.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270388.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270387.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
LC270386.1,"Pohlia annotina chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
MG209348.1,"Gloiopeltis complanata voucher GIGAR553 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209347.1,"Gloiopeltis complanata voucher GIGAR552 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209346.1,"Gloiopeltis complanata voucher GIGAR360 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209345.1,"Gloiopeltis complanata voucher GIGAR359 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209344.1,"Gloiopeltis complanata voucher GIGAR358 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209343.1,"Gloiopeltis complanata voucher GIGAR551 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209342.1,"Gloiopeltis complanata voucher GIGAR364 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209341.1,"Gloiopeltis complanata voucher GIGAR363 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
MG209340.1,"Gloiopeltis complanata voucher GIGAR541 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
LC060517.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060516.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
